arquivo,aba,valor_ultimo_na_linha,status
C4480327.xlsx,IR_CS_ANUAL,6082.31,ok
C3577466.xlsx,IR_CS_ANUAL,13740.57,ok
C3835633.xlsx,IR_CS_ANUAL,10589.63,ok
C4872934.xlsx,IR_CS_ANUAL,33349.82,ok
C4486872.xlsx,IR_CS_ANUAL,25492.92,ok
C5068573.xlsx,IR_CS_ANUAL,30400.47,ok
C4176235.xlsx,IR_CS_ANUAL,9884.46,ok
C4657628.xlsx,IR_CS_ANUAL,-4592.52,ok
C4656811.xlsx,IR_CS_ANUAL,30579.97,ok
C3636719.xlsx,IR_CS_ANUAL,-9.916.899.999.999.990,ok
C4061605.xlsx,IR_CS_ANUAL,14810.32,ok
C4921395.xlsx,IR_CS_ANUAL,10314.2,ok
C4580108.xlsx,IR_CS_ANUAL,-433.32,ok
C3679647.xlsx,IR_CS_ANUAL,5.584.839.999.999.990,ok
C4670797.xlsx,IR_CS_ANUAL,-1116.16,ok
C4537027.xlsx,IR_CS_ANUAL,23734.66,ok
C4307147.xlsx,IR_CS_ANUAL,17291.42,ok
C4445061.xlsx,IR_CS_ANUAL,2340,ok
C3620751.xlsx,IR_CS_ANUAL,12810.41,ok
C4467873.xlsx,IR_CS_ANUAL,14495.19,ok
C3736152.xlsx,IR_CS_ANUAL,6.141.279.999.999.990,ok
C3921947.xlsx,IR_CS_ANUAL,8109.38,ok
C4285535.xlsx,IR_CS_ANUAL,41838,ok
C4079466.xlsx,IR_CS_ANUAL,11862.7,ok
C4208972.xlsx,IR_CS_ANUAL,16367.54,ok
C4647195.xlsx,IR_CS_ANUAL,13395.3,ok
C4616852.xlsx,IR_CS_ANUAL,20165.07,ok
C4243010.xlsx,IR_CS_ANUAL,8534.29,ok
C3965859.xlsx,IR_CS_ANUAL,5.938.724.000.000.000,ok
C4871224.xlsx,IR_CS_ANUAL,15491.25,ok
C3807850.xlsx,IR_CS_ANUAL,23345.19,ok
C3936810.xlsx,IR_CS_ANUAL,7126.24,ok
C4435276.xlsx,IR_CS_ANUAL,15718.8,ok
C4516181.xlsx,IR_CS_ANUAL,-922.16,ok
C4293303.xlsx,IR_CS_ANUAL,-3457.17,ok
C4195117.xlsx,IR_CS_ANUAL,1990.85,ok
C3795097.xlsx,IR_CS_ANUAL,4.957.539.999.999.990,ok
C4335685.xlsx,IR_CS_ANUAL,11266.82,ok
C4344578.xlsx,IR_CS_ANUAL,14891.39,ok
C3697093.xlsx,IR_CS_ANUAL,5.247.028.999.999.990,ok
C4168923.xlsx,IR_CS_ANUAL,20675.32,ok
C4077582.xlsx,IR_CS_ANUAL,11482.48,ok
