AnoMes,NumContrato,Conta_Nome,Cosif_Nome,ValorDebito,ValorCredito,Movimentacao,GER,IRPJ,CS,PIS,COFINS
999999,4581572,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,108818.75,108818.75,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581592,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,324909.00,324909.00,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581602,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,254573.12,254573.12,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581604,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,458671.42,458671.42,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581696,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,883433.46,883433.46,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581714,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,967348.87,967348.87,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581715,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,774852.06,774852.06,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581730,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,1021114.88,1021114.88,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581747,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,248781.77,248781.77,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
999999,4581755,71300010030016 - ARREND.FINANCEIROS-REC.INT.,71210001 - RENDAS DE ARRENDAM.FINANC.- RECURSOS INTERNOS,0.00,3206382.40,3206382.40,0001,Exclusão,RAIR,Total das Receitas,Total das Receitas
