arquivo,valor_ultimo_na_linha,status
C3027408.xlsx,1.8189894035458565e-12,ok
C3028214.xlsx,0.0,ok
C3028194.xlsx,0.0,ok
C3028575.xlsx,-7.275957614183426e-12,ok
C3028668.xlsx,3.637978807091713e-12,ok
C3028747.xlsx,-1.8189894035458565e-12,ok
C3028739.xlsx,0.0,ok
C3028882.xlsx,0.0,ok
C3028914.xlsx,0.0,ok
C3028981.xlsx,-1.8189894035458565e-12,ok
C3029137.xlsx,0.0,ok
C3029674.xlsx,0.0,ok
C3029462.xlsx,-3.637978807091713e-12,ok
C3029475.xlsx,0.0,ok
C3030292.xlsx,0.0,ok
C3030586.xlsx,0.0,ok
C3030434.xlsx,0.0,ok
C3030624.xlsx,-3.637978807091713e-12,ok
C3031228.xlsx,7.275957614183426e-12,ok
C3030994.xlsx,-7.275957614183426e-12,ok
C3031045.xlsx,3.637978807091713e-12,ok
C3031256.xlsx,3.637978807091713e-12,ok
C3031806.xlsx,0.0,ok
C3032038.xlsx,0.0,ok
C3032427.xlsx,0.0,ok
C3031748.xlsx,0.0,ok
C3032306.xlsx,3.637978807091713e-12,ok
C3032511.xlsx,1.4551915228366852e-11,ok
C3032610.xlsx,0.0,ok
C3032708.xlsx,0.0,ok
C3033039.xlsx,0.0,ok
C3032259.xlsx,3.637978807091713e-12,ok
C3032736.xlsx,0.0,ok
C3033206.xlsx,1.8189894035458565e-12,ok
C3033057.xlsx,0.0,ok
C3033326.xlsx,0.0,ok
C3033313.xlsx,0.0,ok
C3033403.xlsx,-3.637978807091713e-12,ok
C3033392.xlsx,7.275957614183426e-12,ok
C3033393.xlsx,0.0,ok
C3033442.xlsx,-9.094947017729282e-13,ok
C3033865.xlsx,0.0,ok
C3033864.xlsx,7.275957614183426e-12,ok
C3034160.xlsx,0.0,ok
C3033931.xlsx,0.0,ok
C3034035.xlsx,0.0,ok
C3034161.xlsx,-3.637978807091713e-12,ok
C3034442.xlsx,0.0,ok
C3034332.xlsx,5.4569682106375694e-12,ok
C3034468.xlsx,-1.8189894035458565e-12,ok
C3034515.xlsx,1.4551915228366852e-11,ok
C3034599.xlsx,0.0,ok
C3034700.xlsx,0.0,ok
C3035566.xlsx,-3.637978807091713e-12,ok
C3034722.xlsx,0.0,ok
C3035298.xlsx,0.0,ok
C3035904.xlsx,0.0,ok
C3035588.xlsx,0.0,ok
C3036492.xlsx,0.0,ok
C3035674.xlsx,3.637978807091713e-12,ok
C3036824.xlsx,0.0,ok
C3037501.xlsx,-3.637978807091713e-12,ok
C3036762.xlsx,3.637978807091713e-12,ok
C3037786.xlsx,0.0,ok
C3037696.xlsx,3.637978807091713e-12,ok
C3037594.xlsx,0.0,ok
C3037812.xlsx,0.0,ok
C3037808.xlsx,3.637978807091713e-12,ok
C3038203.xlsx,30991.56,ok
C3037894.xlsx,0.0,ok
C3038285.xlsx,-18240.929999999997,ok
C3038440.xlsx,0.0,ok
C3038704.xlsx,-3.637978807091713e-12,ok
C3038501.xlsx,0.0,ok
C3038747.xlsx,0.0,ok
C3038933.xlsx,7.275957614183426e-12,ok
C3038855.xlsx,0.0,ok
C3039592.xlsx,3.637978807091713e-12,ok
C3039494.xlsx,-1.8189894035458565e-12,ok
C3039163.xlsx,-1.8189894035458565e-12,ok
C3039526.xlsx,-3.637978807091713e-12,ok
C3039647.xlsx,0.0,ok
C3039999.xlsx,0.0,ok
C3039786.xlsx,0.0,ok
C3040048.xlsx,0.0,ok
C3040197.xlsx,0.0,ok
C3040172.xlsx,0.0,ok
C3040904.xlsx,0.0,ok
C3041160.xlsx,-9.094947017729282e-13,ok
C3041179.xlsx,0.0,ok
C3041330.xlsx,0.0,ok
C3041526.xlsx,-1.8189894035458565e-12,ok
C3041553.xlsx,22160.43,ok
C3041621.xlsx,0.0,ok
C3041882.xlsx,-1.8189894035458565e-12,ok
C3041819.xlsx,0.0,ok
C3041906.xlsx,-7.275957614183426e-12,ok
C3041987.xlsx,-1.8189894035458565e-12,ok
C3042066.xlsx,0.0,ok
C3041936.xlsx,-3.637978807091713e-12,ok
C3041954.xlsx,0.0,ok
C3042504.xlsx,0.0,ok
C3042833.xlsx,0.0,ok
C3042219.xlsx,0.0,ok
C3042651.xlsx,1.4551915228366852e-11,ok
C3042678.xlsx,0.0,ok
C3043144.xlsx,1.8189894035458565e-12,ok
C3042989.xlsx,7.19999999999709,ok
C3043155.xlsx,1.4551915228366852e-11,ok
C3043212.xlsx,0.0,ok
C3043182.xlsx,0.0,ok
C3043252.xlsx,0.0,ok
C3043438.xlsx,0.0,ok
C3043350.xlsx,0.0,ok
C3043658.xlsx,1.8189894035458565e-12,ok
C3043555.xlsx,0.0,ok
C3043828.xlsx,-3.637978807091713e-12,ok
C3043908.xlsx,0.0,ok
C3044224.xlsx,0.0,ok
C3044002.xlsx,0.0,ok
C3044003.xlsx,0.0,ok
C3044717.xlsx,7.275957614183426e-12,ok
C3044470.xlsx,0.0,ok
C3044707.xlsx,-1.8189894035458565e-12,ok
C3045183.xlsx,1.8189894035458565e-12,ok
C3045173.xlsx,0.0,ok
C3045253.xlsx,0.0,ok
C3044839.xlsx,0.0,ok
C3044925.xlsx,-3.637978807091713e-12,ok
C3045477.xlsx,0.0,ok
C3045350.xlsx,4.547473508864641e-12,ok
C3045943.xlsx,0.0,ok
C3046013.xlsx,0.0,ok
C3046163.xlsx,1.8189894035458565e-12,ok
C3046393.xlsx,0.0,ok
C3047148.xlsx,0.0,ok
C3047190.xlsx,0.0,ok
C3047235.xlsx,-5.4569682106375694e-12,ok
C3047383.xlsx,0.0,ok
C3047291.xlsx,-1.4551915228366852e-11,ok
C3047419.xlsx,0.0,ok
C3047660.xlsx,9.094947017729282e-13,ok
C3047552.xlsx,0.0,ok
C3048130.xlsx,-3.637978807091713e-12,ok
C3048612.xlsx,3.637978807091713e-12,ok
C3048709.xlsx,3.637978807091713e-12,ok
C3049041.xlsx,3.637978807091713e-12,ok
C3049060.xlsx,0.0,ok
C3049121.xlsx,0.0,ok
C3049365.xlsx,-1.8189894035458565e-12,ok
C3049304.xlsx,0.0,ok
C3049389.xlsx,0.0,ok
C3049435.xlsx,3.637978807091713e-12,ok
C3049809.xlsx,0.0,ok
C3050020.xlsx,0.0,ok
C3049687.xlsx,0.0,ok
C3050052.xlsx,9.094947017729282e-12,ok
C3049996.xlsx,0.0,ok
C3050036.xlsx,-3.637978807091713e-12,ok
C3050246.xlsx,0.0,ok
C3050294.xlsx,0.0,ok
C3050252.xlsx,0.0,ok
C3050468.xlsx,9.094947017729282e-13,ok
C3050787.xlsx,0.0,ok
C3050446.xlsx,-1.8189894035458565e-12,ok
C3050947.xlsx,0.0,ok
C3051280.xlsx,0.0,ok
C3051112.xlsx,0.0,ok
C3051440.xlsx,0.0,ok
C3051601.xlsx,-7.275957614183426e-12,ok
C3051542.xlsx,3.637978807091713e-12,ok
C3051192.xlsx,7.275957614183426e-12,ok
C3051798.xlsx,0.0,ok
C3052258.xlsx,0.0,ok
C3051809.xlsx,3.637978807091713e-12,ok
C3052271.xlsx,-1.8189894035458565e-12,ok
C3052983.xlsx,-3.637978807091713e-12,ok
C3053080.xlsx,0.0,ok
C3052847.xlsx,0.0,ok
C3052299.xlsx,7.275957614183426e-12,ok
C3053150.xlsx,0.0,ok
C3053218.xlsx,7.275957614183426e-12,ok
C3054891.xlsx,0.0,ok
C3053554.xlsx,0.0,ok
C3053786.xlsx,-3.637978807091713e-12,ok
C3054758.xlsx,0.0,ok
C3054975.xlsx,0.0,ok
C3054031.xlsx,0.0,ok
C3055262.xlsx,-9.094947017729282e-13,ok
C3056097.xlsx,0.0,ok
C3055097.xlsx,1.8189894035458565e-12,ok
C3056186.xlsx,0.0,ok
C3055139.xlsx,1.8189894035458565e-12,ok
C3055740.xlsx,3.637978807091713e-12,ok
C3056268.xlsx,0.0,ok
C3056604.xlsx,0.0,ok
C3056675.xlsx,-9.094947017729282e-13,ok
C3056363.xlsx,0.0,ok
C3056624.xlsx,3.637978807091713e-12,ok
C3056677.xlsx,-1.8189894035458565e-12,ok
C3056705.xlsx,-1.0913936421275139e-11,ok
C3057147.xlsx,0.0,ok
C3056711.xlsx,0.0,ok
C3057553.xlsx,0.0,ok
C3058387.xlsx,-1.8189894035458565e-12,ok
C3058223.xlsx,0.0,ok
C3058529.xlsx,0.0,ok
C3057351.xlsx,7.275957614183426e-12,ok
C3058834.xlsx,0.0,ok
C3058868.xlsx,0.0,ok
C3058716.xlsx,7.275957614183426e-12,ok
C3058850.xlsx,-1.8189894035458565e-12,ok
C3059074.xlsx,1.4551915228366852e-11,ok
C3059585.xlsx,0.0,ok
C3059016.xlsx,0.0,ok
C3059006.xlsx,-3.637978807091713e-12,ok
C3059093.xlsx,0.0,ok
C3059543.xlsx,7.275957614183426e-12,ok
C3059738.xlsx,0.0,ok
C3059933.xlsx,-1.8189894035458565e-12,ok
C3059951.xlsx,0.0,ok
C3059798.xlsx,-7.275957614183426e-12,ok
C3059879.xlsx,0.0,ok
C3060084.xlsx,0.0,ok
C3060008.xlsx,0.0,ok
C3060303.xlsx,0.0,ok
C3060164.xlsx,0.0,ok
C3060330.xlsx,-1.8189894035458565e-12,ok
C3060370.xlsx,7.275957614183426e-12,ok
C3060970.xlsx,-4.547473508864641e-13,ok
C3061744.xlsx,-7.275957614183426e-12,ok
C3061892.xlsx,-3.637978807091713e-12,ok
C3062791.xlsx,0.0,ok
C3062319.xlsx,-1.8189894035458565e-12,ok
C3063109.xlsx,-7.275957614183426e-12,ok
C3062502.xlsx,0.0,ok
C3063121.xlsx,-9.094947017729282e-13,ok
C3063218.xlsx,0.0,ok
C3063226.xlsx,0.0,ok
C3063272.xlsx,0.0,ok
C3063866.xlsx,0.0,ok
C3063565.xlsx,-1.8189894035458565e-12,ok
C3064150.xlsx,0.0,ok
C3063753.xlsx,0.0,ok
C3064768.xlsx,7.275957614183426e-12,ok
C3064047.xlsx,0.0,ok
C3064682.xlsx,-1.0913936421275139e-11,ok
C3065338.xlsx,-7.275957614183426e-12,ok
C3064823.xlsx,3.637978807091713e-12,ok
C3065274.xlsx,5.4569682106375694e-12,ok
C3065435.xlsx,0.0,ok
C3064954.xlsx,9.094947017729282e-13,ok
C3065482.xlsx,0.0,ok
C3065602.xlsx,0.0,ok
C3065746.xlsx,-3.637978807091713e-12,ok
C3065943.xlsx,0.0,ok
C3066174.xlsx,0.0,ok
C3065866.xlsx,0.0,ok
C3066066.xlsx,-1.8189894035458565e-12,ok
C3066231.xlsx,0.0,ok
C3066247.xlsx,0.0,ok
C3066354.xlsx,-3.637978807091713e-12,ok
C3066937.xlsx,0.0,ok
C3066486.xlsx,3.637978807091713e-12,ok
C3066659.xlsx,0.0,ok
C3066643.xlsx,0.0,ok
C3066684.xlsx,3.637978807091713e-12,ok
C3067026.xlsx,0.0,ok
C3067111.xlsx,0.0,ok
C3067149.xlsx,1.8189894035458565e-12,ok
C3067205.xlsx,0.0,ok
C3067587.xlsx,-3.637978807091713e-12,ok
C3067698.xlsx,0.0,ok
C3067910.xlsx,-3.637978807091713e-12,ok
C3068115.xlsx,1.4551915228366852e-11,ok
C3067277.xlsx,-7.275957614183426e-12,ok
C3068253.xlsx,0.0,ok
C3069248.xlsx,0.0,ok
C3068970.xlsx,1.4551915228366852e-11,ok
C3069129.xlsx,1.8189894035458565e-12,ok
C3069261.xlsx,0.0,ok
C3069278.xlsx,-3.637978807091713e-12,ok
C3069739.xlsx,0.0,ok
C3069681.xlsx,0.0,ok
C3069780.xlsx,3.637978807091713e-12,ok
C3069675.xlsx,0.0,ok
C3070471.xlsx,0.0,ok
C3069914.xlsx,-3.637978807091713e-12,ok
C3069912.xlsx,7.275957614183426e-12,ok
C3070260.xlsx,3.637978807091713e-12,ok
C3070361.xlsx,3.637978807091713e-12,ok
C3070843.xlsx,0.0,ok
C3070504.xlsx,0.0,ok
C3070527.xlsx,0.0,ok
C3071137.xlsx,0.0,ok
C3071035.xlsx,0.0,ok
C3070803.xlsx,0.0,ok
C3071180.xlsx,-7.275957614183426e-12,ok
C3071226.xlsx,-9.094947017729282e-13,ok
C3071186.xlsx,0.0,ok
C3071589.xlsx,0.0,ok
C3071644.xlsx,0.0,ok
C3071578.xlsx,0.0,ok
C3071854.xlsx,-3.637978807091713e-12,ok
C3071728.xlsx,3.637978807091713e-12,ok
C3071857.xlsx,0.0,ok
