arquivo,arquivo_completo,aba,valor_ultimo_na_linha,status
C3008381.xlsx,data/output/C3008381.xlsx,IR_CS_ANUAL,0,ok
C3008723.xlsx,data/output/C3008723.xlsx,IR_CS_ANUAL,0,ok
C3008861.xlsx,data/output/C3008861.xlsx,IR_CS_ANUAL,0,ok
C3008731.xlsx,data/output/C3008731.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3009065.xlsx,data/output/C3009065.xlsx,IR_CS_ANUAL,0,ok
C3009119.xlsx,data/output/C3009119.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3009341.xlsx,data/output/C3009341.xlsx,IR_CS_ANUAL,-9.094947017729282e-13,ok
C3009405.xlsx,data/output/C3009405.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3009558.xlsx,data/output/C3009558.xlsx,IR_CS_ANUAL,0,ok
C3009190.xlsx,data/output/C3009190.xlsx,IR_CS_ANUAL,0,ok
C3009446.xlsx,data/output/C3009446.xlsx,IR_CS_ANUAL,-9.094947017729282e-12,ok
C3009576.xlsx,data/output/C3009576.xlsx,IR_CS_ANUAL,-9.094947017729282e-13,ok
C3009619.xlsx,data/output/C3009619.xlsx,IR_CS_ANUAL,0,ok
C3009690.xlsx,data/output/C3009690.xlsx,IR_CS_ANUAL,0,ok
C3009659.xlsx,data/output/C3009659.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3009913.xlsx,data/output/C3009913.xlsx,IR_CS_ANUAL,0,ok
C3009883.xlsx,data/output/C3009883.xlsx,IR_CS_ANUAL,0,ok
C3010058.xlsx,data/output/C3010058.xlsx,IR_CS_ANUAL,4.547473508864641e-12,ok
C3010143.xlsx,data/output/C3010143.xlsx,IR_CS_ANUAL,-3.637978807091713e-12,ok
C3010297.xlsx,data/output/C3010297.xlsx,IR_CS_ANUAL,0,ok
C3010320.xlsx,data/output/C3010320.xlsx,IR_CS_ANUAL,-4.547473508864641e-12,ok
C3010685.xlsx,data/output/C3010685.xlsx,IR_CS_ANUAL,0,ok
C3010466.xlsx,data/output/C3010466.xlsx,IR_CS_ANUAL,9.094947017729282e-12,ok
C3010942.xlsx,data/output/C3010942.xlsx,IR_CS_ANUAL,24859.43,ok
C3010618.xlsx,data/output/C3010618.xlsx,IR_CS_ANUAL,-1.8189894035458565e-12,ok
C3010823.xlsx,data/output/C3010823.xlsx,IR_CS_ANUAL,7.275957614183426e-12,ok
C3011251.xlsx,data/output/C3011251.xlsx,IR_CS_ANUAL,0,ok
C3011112.xlsx,data/output/C3011112.xlsx,IR_CS_ANUAL,3.637978807091713e-12,ok
C3011458.xlsx,data/output/C3011458.xlsx,IR_CS_ANUAL,-9.094947017729282e-13,ok
C3011434.xlsx,data/output/C3011434.xlsx,IR_CS_ANUAL,0,ok
C3011635.xlsx,data/output/C3011635.xlsx,IR_CS_ANUAL,0,ok
